Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",negative,"seven-month sales ragutis , controlled finnish brewery olvi , declined 11.2 percent , 15.41 million liters , company held 9.89 percent .",183,136,0.2568306010928962
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",positive,"finnish steel maker rautaruukki oyj ( hel : rtrks ) , ruukki , said net loss contracted eur 49 million ( usd 68.2 ) first nine months 2010 eur 229 million period year ago .",221,172,0.22171945701357465
"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",neutral,"depending situation , projects sold 1 3 years completion .",96,58,0.3958333333333333
Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,positive,yahoo POSITIVE_MOVE $36.46 bidding war picks POSITIVE_MOVE company $yhoo,125,72,0.424
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,"group owns operates fleet 800dwt , container capacity 17,000 teus , manages diversified fleet railway rolling 17,000 units .",187,124,0.33689839572192515
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,"deal , know pay sek90m ( usd12 .8 m-eur8 .6 ) cash .",85,52,0.38823529411764707
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,neutral,stichting pensioenfonds abp : 4 118 122 representing 5.19 % capital voting rights .,107,83,0.22429906542056074
"With the new arrangement , customer responsibilities will become mainly regional .",neutral,"new arrangement , customer responsibilities become mainly regional .",82,68,0.17073170731707318
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .",neutral,"helsinki thomson financial - closed little changed , cargotec huhtamaki dropping sharply disappointing second-quarter reports .",146,127,0.13013698630136986
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,"helsinki : eliiv reported eps eur1 .13 2009 , increase eps eur1 .12 2008 .",103,74,0.2815533980582524
The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,neutral,company reportedly searching replacement ceo olli-pekka kallasvuo .,84,67,0.20238095238095238
"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .",neutral,"koff 's volume 23.4 % , karhu 's 21.4 % .",79,41,0.4810126582278481
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,"advertising circulation revenues grew 3.4 % 0.4 % , respectively .",80,66,0.175
$FIO won't stay down,positive,$fio stay NEGATIVE_MOVE,20,23,-0.15
"The program included operational improvements and reductions in personnel , mainly in the Netherlands .",neutral,"program included operational improvements reductions personnel , mainly netherlands .",103,85,0.17475728155339806
The presentation material can be viewed on the company 's website in English after the conference .,neutral,presentation material viewed company 's website english conference .,99,68,0.31313131313131315
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"fiskars also engaged global supply marine energy equipment solutions services associated company , wartsila corporation .",154,121,0.21428571428571427
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,"fair value investment properties totaled eur 2,534.9 mn , POSITIVE_MOVE eur 2,455.1 mn 2006 .",101,93,0.07920792079207921
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral,"2008 , avc systemhaus net sales eur 10 million usd 7.1 .",68,56,0.17647058823529413
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral,update 1-engineering firm smiths group confirms ceo appointment,63,63,0.0
Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,positive,hearst able consolidate 20 % russian advertising press purchase .,113,65,0.4247787610619469
"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .",neutral,"part plan , board directors decided transfer maximum 330,000 held company issue payment directed aspo management oy , holding company acquired management .",227,155,0.31718061674008813
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,"finnish government announced wednesday sold 32 percent stake chemicals fertilizer group kemira oyj ( x20ac ) 655.6 million ( $ 890us million ) , sending company 's POSITIVE_MOVE 6 percent .",220,189,0.1409090909090909
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",neutral,"demonstrations broad capabilities mobility business suite organized 3gsm world congress barcelona , february 12th 15th .",164,120,0.2682926829268293
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,`` social networking location-based service trends comprise significant internet traffic appealing mid users .,146,110,0.2465753424657534
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,"nordic banks already write sizable loans latvia , swedbank , nordea , dnb seb reporting combined losses excess $ 1.35 billion period 2007 2010 backdrop near economic meltdown latvia .",247,183,0.2591093117408907
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",neutral,"auburn 's sales 2007 cad 41 million ( approximately eur 27 million ) , company employs 150 people .",120,99,0.175
"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .",neutral,"nasdaq omx : geo1v , gypsii business unit , developers award-winning gypsii mobile social networking application , announced availability free download via samsung mobile applications store .",219,191,0.1278538812785388
Strategic and operational business information is objectively reported .,neutral,strategic operational business information objectively reported .,72,65,0.09722222222222222
The medium-term operative targets of the company remain unchanged .,neutral,medium-term operative targets company remain unchanged .,67,56,0.16417910447761194
The contract includes heating plant equipment and associated installation work .,neutral,contract includes heating plant equipment associated installation work .,80,72,0.1
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative,$fb churning high volume @ ipo price. lot's sellers trying get out. might take consolidate moving higher.,137,105,0.23357664233576642
Brazilian mobile player Telemig Celular yesterday announced that it has selected Finnish software developer Tecnomen Oyj to expand its prepaid billing system .,positive,brazilian mobile player telemig celular yesterday announced selected finnish software developer tecnomen oyj expand prepaid billing system .,159,140,0.11949685534591195
"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .",neutral,"2010 , sanoma magazines expects net sales 2009 level .",70,54,0.22857142857142856
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,"time profit company increased 10 % h1 reached ls 79,000 .",86,57,0.3372093023255814
Panostaja did not disclose the purchase price .,neutral,panostaja disclose purchase .,47,29,0.3829787234042553
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral,use validation rule base enables verifying processing rule bases managed different administrators fulfil set requirements .,143,123,0.13986013986013987
"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers .",neutral,"recently , founded virent energy systems , inc. , 80 person catalytic biofuels company , , president ceo , led company multiple financings , defined company 's strategy , secured company 's first customers .",265,207,0.2188679245283019
The products have a low salt and fat content .,neutral,products low salt fat content .,46,31,0.32608695652173914
Priceline's stock jumps to new high for the year after Barclays upgrade,positive,priceline's jumps new high year barclays upgrade,71,48,0.323943661971831
Earnings per share EPS in 2005 amounted to a loss of EUR1 .26 .,neutral,earnings per eps 2005 amounted loss eur1 .26 .,63,46,0.2698412698412698
